Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.50mm,1,C_Polarized,
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C8, C9",C_Rect_L4.0mm_W2.5mm_P2.50mm,23,100nF,
C19,CP_Radial_D5.0mm_P2.50mm,1,100uF,
C2,C_Rect_L4.0mm_W2.5mm_P2.50mm,1,1uF,
C20,CP_Radial_D6.3mm_P2.50mm,1,220uF,
"C3, C5, C7",CP_Radial_D5.0mm_P2.50mm,3,10uF,
"C33, C4, C6",CP_Radial_D5.0mm_P2.50mm,3,1uF,
"D1, D2",D_DO-35_SOD27_P7.62mm_Horizontal,2,D,
D10,LED_D4.0mm,1,LED_+5,
D11,LED_D4.0mm,1,LED_+5SB,
D12,LED_D4.0mm,1,LED_-12,
"D3, D4, D5, D6",LED_D4.0mm,4,LED,
"D7, D8",D_DO-35_SOD27_P7.62mm_Horizontal,2,1N4148,
D9,LED_D4.0mm,1,LED_+12,
"HOLE1, HOLE2, HOLE3, HOLE4, HOLE5, HOLE6, HOLE7",Hole_3mm,7,HOLE,
"IC1, IC2, IC3",DIP-20_W7.62mm_Socket_LongPads,3,74HCT245,
J1,PinHeader_1x03_P2.54mm_Vertical,1,BG,
J10,PinSocket_2x06_P2.54mm_Horizontal,1,PMOD_BOTTOM,
"J11, J12, J15, J27",PinHeader_1x04_P2.54mm_Vertical,4,Conn_01x04_Pin,
J13,PinHeader_1x07_P2.54mm_Vertical,1,RTC (SparkFun BOB-10160),
J14,USB_B_Lumberg_2411_02_Horizontal,1,USB_B,
J16,Molex_Mini-Fit_Jr_5566-24A2_2x12_P4.20mm_Vertical,1,ATX-24 - IF NO 12V in,
J17,BarrelJack_Horizontal,1,12V in if NO ATX,
J18,IDC-Header_2x20_P2.54mm_Vertical,1,IDE 40 pin,
J19,PinHeader_1x02_P2.54mm_Vertical,1,ExtPWRON,
J2,PinHeader_1x03_P2.54mm_Vertical,1,FCx,
J20,PinHeader_1x02_P2.54mm_Vertical,1,PWR_LED,
J21,IDC-Header_2x08_P2.54mm_Vertical,1,Conn_02x08_Odd_Even,
J22,PinHeader_1x12_P2.54mm_Vertical,1,PPI,
