Designator,Mid X,Mid Y,Rotation,Layer
C1,210.0,-201.5,270.0,top
C10,341.5,-128.25,0.0,top
C11,342.25,-164.75,180.0,top
C12,232.5,-153.5,180.0,top
C13,205.0,-77.75,90.0,top
C14,45.25,-181.5,90.0,top
C15,161.5,-194.0,0.0,top
C16,365.25,-128.0,0.0,top
C17,274.5,-75.75,270.0,top
C18,200.0,-131.25,0.0,top
C19,322.5,-197.5,0.0,top
C2,194.5,-77.5,0.0,top
C20,67.0,-149.25,90.0,top
C21,110.0,-80.5,90.0,top
C22,81.0,-171.5,0.0,top
C23,86.96,-194.88,0.0,top
C24,252.75,-172.75,0.0,top
C25,321.25,-138.5,180.0,top
C26,355.25,-164.75,0.0,top
C27,272.25,-197.75,0.0,top
C28,171.5,-150.75,0.0,top
C29,131.0,-137.25,0.0,top
C3,60.75,-143.5,270.0,top
C30,212.25,-168.5,180.0,top
C31,174.75,-198.25,0.0,top
C32,186.5,-168.25,0.0,top
C33,55.0,-149.25,90.0,top
C4,74.75,-135.75,0.0,top
C5,74.7051,-128.75,180.0,top
C6,67.2051,-71.0,180.0,top
C7,47.25,-149.5,90.0,top
C8,79.75,-198.5,270.0,top
C9,132.75,-194.0,0.0,top
D1,173.75,-207.06,90.0,top
D10,61.48,-109.25,180.0,top
D11,61.48,-101.02,180.0,top
D12,61.25,-92.5,0.0,top
D2,189.19,-198.75,0.0,top
D3,107.73,-71.0,180.0,top
D4,155.52,-68.75,0.0,top
D5,149.5,-68.75,0.0,top
D6,310.945,-197.41,180.0,top
D7,79.5,-148.75,270.0,top
D8,75.95,-148.75,270.0,top
D9,61.48,-117.5,180.0,top
HOLE1,72.72,-96.95,0.0,top
HOLE2,207.34,-96.95,0.0,top
HOLE3,333.07,-127.43,0.0,top
HOLE4,72.72,-208.71,0.0,top
HOLE5,207.34,-208.71,0.0,top
HOLE6,311.48,-208.71,0.0,top
HOLE7,362.28,-164.895,0.0,top
IC1,227.4,-189.19,90.0,top
IC2,287.07,-189.19,90.0,top
IC3,257.61,-189.19,90.0,top
J1,160.5,-104.5,270.0,top
J10,244.05,-132.73,270.0,top
J11,141.25,-169.27,0.0,top
J12,104.75,-169.75,0.0,top
J13,201.25,-114.63,0.0,top
J14,181.9,-74.7575,90.0,top
J15,130.94,-68.25,90.0,top
J16,49.25,-111.4,90.0,top
J17,52.55,-75.625,270.0,top
J18,273.12,-206.48,90.0,top
J19,218.25,-207.98,0.0,top
J2,163.25,-202.5,90.0,top
J20,80.75,-132.495,0.0,top
J21,351.48,-152.23,90.0,top
J22,311.02,-144.25,270.0,top
J23,260.06,-179.25,90.0,top
J24,227.56,-197.75,90.0,top
J25,357.77,-137.36,0.0,top
J26,349.23,-137.44,0.0,top
J27,166.73,-137.0,90.0,top
J28,323.005,-75.915,270.0,top
J29,81.25,-105.98,0.0,top
J3,116.79,-104.25,270.0,top
J4,150.56,-104.5,270.0,top
J5,136.995,-202.75,90.0,top
J6,231.46,-161.5,90.0,top
J7,231.46,-143.75,90.0,top
J8,240.0,-168.0,270.0,top
J9,221.35,-132.73,270.0,top
JP1,339.005,-132.75,270.0,top
JP10,67.5,-96.245,0.0,top
JP11,78.5,-96.52,180.0,top
JP12,120.21,-177.0,90.0,top
JP13,117.75,-207.75,90.0,top
JP14,195.5,-163.745,0.0,top
JP15,165.48,-83.75,270.0,top
JP16,153.27,-202.5,90.0,top
JP17,283.005,-198.25,270.0,top
JP18,236.0,-208.255,180.0,top
JP19,289.08,-144.5,90.0,top
JP2,339.005,-137.0,270.0,top
JP20,277.73,-144.5,90.0,top
JP21,165.505,-78.5,270.0,top
JP22,106.0,-95.25,270.0,top
JP3,220.0,-166.745,0.0,top
JP4,203.255,-138.0,270.0,top
JP5,207.25,-166.755,180.0,top
JP6,224.5,-166.745,0.0,top
JP7,170.25,-107.25,0.0,top
JP8,201.0,-98.255,180.0,top
JP9,61.96,-124.0,90.0,top
Q1,227.0,-179.23,270.0,top
Q2,227.98,-208.75,0.0,top
R1,96.0,-71.0,0.0,top
R10,296.15,-175.83,90.0,top
R11,300.2,-175.83,90.0,top
R12,304.25,-175.83,90.0,top
R13,238.53,-179.23,180.0,top
R14,165.67,-73.25,0.0,top
R15,165.75,-68.75,0.0,top
R16,79.5,-161.08,90.0,top
R17,299.92,-197.5,180.0,top
R18,118.17,-200.0,0.0,top
R19,54.42,-207.75,180.0,top
R2,201.0,-203.5,90.0,top
R20,176.25,-168.25,0.0,top
R21,146.25,-195.5,0.0,top
R22,49.5,-161.67,270.0,top
R23,45.75,-161.67,90.0,top
R24,209.0,-190.67,270.0,top
R25,63.92,-133.25,180.0,top
R26,73.67,-90.25,0.0,top
R27,63.83,-128.75,180.0,top
R28,84.5,-95.08,90.0,top
R29,64.0,-137.25,180.0,top
R3,261.75,-91.58,90.0,top
R30,104.0,-83.25,270.0,top
R4,262.0,-119.58,270.0,top
R5,275.65,-175.845,90.0,top
R6,279.95,-175.83,90.0,top
R7,284.0,-175.83,90.0,top
R8,288.05,-175.83,90.0,top
R9,292.1,-175.83,90.0,top
RN1,133.48,-104.25,180.0,top
RN2,169.35,-142.25,0.0,top
RN3,171.0,-184.19,90.0,top
RN4,98.19,-104.25,180.0,top
SW1,202.0,-70.5,0.0,top
SW3,78.6,-70.75,180.0,top
U1,125.56,-121.07,270.0,top
U10,186.56,-151.54,0.0,top
U11,191.15,-189.44,90.0,top
U12,126.55,-94.44,90.0,top
U13,183.62,-109.86,0.0,top
U14,201.15,-87.025,270.0,top
U15,74.525,-81.25,90.0,top
U16,58.19,-164.67,0.0,top
U17,72.25,-112.775,0.0,top
U18,123.9,-160.9,270.0,top
U19,62.22,-181.31,90.0,top
U2,187.67,-206.94,90.0,top
U20,62.0,-198.5,90.0,top
U21,151.44,-160.65,0.0,top
U22,93.69,-161.1,0.0,top
U23,122.36,-185.32,90.0,top
U24,187.58,-176.81,90.0,top
U25,94.81,-87.11,0.0,top
U26,298.2,-157.63,90.0,top
U27,70.69,-164.67,0.0,top
U28,210.87,-176.81,90.0,top
U3,156.5,-94.5,90.0,top
U4,340.88,-102.61,0.0,top
U5,362.62,-102.82,0.0,top
U6,342.12,-190.44,0.0,top
U7,363.11,-190.43,0.0,top
U8,300.73,-94.13,90.0,top
U9,300.83,-122.1225,90.0,top
Y1,148.13,-79.94,0.0,top
Y3,124.25,-80.25,0.0,top
Y5,97.88,-203.94,0.0,top
