Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C2, C3, C4, C5, C6, C9",C2.5-3,9,100nF,
C7,CP_Radial_D5.0mm_P2.50mm,1,100uF,
C8,CP_Radial_D6.3mm_P2.50mm,1,220uF,
"IC1, IC2, IC5",DIP-20_W7.62mm_Socket_LongPads,3,74HCT245,
IC3,DIP-20_W7.62mm_Socket_LongPads,1,ATF16V8BQL,
IC4,DIP-24_W7.62mm_LongPads,1,GAL22V10,
IC6,DIP-14_W7.62mm_Socket_LongPads,1,74LS74,
J1,PinHeader_1x02_P2.54mm_Vertical,1,IOSEL/VPA,
J2,PinSocket_1x24_P2.54mm_Vertical,1,Upduino_LHS,
J28,PinSocket_2x32_P2.54mm_Horizontal,1,Conn_02x32_Odd_Even,
J3,PinSocket_1x24_P2.54mm_Vertical,1,Upduino_RHS,
J4,PinSocket_2x06_P2.54mm_Horizontal,1,PMOD_TOP,
J5,PinSocket_2x06_P2.54mm_Horizontal,1,PMOD_BOTTOM,
J6,PinHeader_1x06_P2.54mm_Vertical,1,Conn_01x06_Male,
"J7, J8",PinHeader_2x04_P2.54mm_Vertical,2,Conn_02x04_Counter_Clockwise,
"JP1, JP3, JP4, JP5, JP6",PinHeader_1x02_P2.54mm_Vertical,5,Jumper,
JP2,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,Jumper,
JP7,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,1,~{IRQ5},
Q1,TO-92_HandSolder,1,2N3904,
"R1, R2, R3, R4, R5, R6, R7, R8",R-0207_10,8,R,
R9,R-0207_10,1,150K,
"TP1, TP2, TP3",PinHeader_1x08_P2.54mm_Vertical,3,Conn_01x08_Male,
