Designator,Mid X,Mid Y,Rotation,Layer
C1,174.308,-110.8,270.0,top
C10,146.03,-56.735,270.0,top
C11,158.134,-114.89,0.0,top
C2,174.308,-97.5685,270.0,top
C3,205.711,-66.9962,270.0,top
C4,174.308,-81.74,270.0,top
C5,113.123,-69.06,0.0,top
C6,158.21,-77.77,0.0,top
C7,137.41,-69.06,0.0,top
C8,103.84,-101.31,0.0,top
C9,174.308,-57.874,270.0,top
IC1,190.778,-110.81,270.0,top
IC2,190.778,-97.5785,270.0,top
IC3,190.77,-81.75,270.0,top
IC4,188.288,-69.792,270.0,top
IC5,190.778,-57.884,270.0,top
IC6,158.413,-130.021,270.0,top
J1,206.0,-74.505,180.0,top
J2,167.034,-91.38,180.0,top
J28,214.77,-90.87,180.0,top
J3,149.234,-91.38,180.0,top
J4,113.098,-56.735,270.0,top
J5,135.958,-56.735,270.0,top
J6,133.658,-119.125,90.0,top
J7,131.118,-108.73,90.0,top
J8,131.118,-95.73,90.0,top
JP1,109.675,-93.388,180.0,top
JP3,112.218,-93.388,180.0,top
JP4,114.758,-93.388,180.0,top
JP5,117.298,-93.388,180.0,top
JP6,174.341,-53.433,270.0,top
Q1,172.544,-132.716,0.0,top
R1,200.828,-123.624,90.0,top
R2,197.828,-123.624,90.0,top
R3,194.828,-123.624,90.0,top
R4,191.828,-123.624,90.0,top
R5,188.828,-123.624,90.0,top
R6,185.828,-123.624,90.0,top
R7,182.828,-123.624,90.0,top
R8,179.828,-123.624,90.0,top
R9,172.619,-123.798,90.0,top
TP1,190.81,-89.63,270.0,top
TP2,160.54,-48.75,270.0,top
TP3,190.79,-48.76,270.0,top
